b/I ch/I l/I h/I w/I xhv yhv xc yc xro yro
0   2    0   379 0   32.949049 510.995630 52.676876 508.953793 72.404702 506.911957
0   7    0   381 1   16.719625 511.783770 36.502303 510.368885 56.284981 508.954000
0   10   0   383 2   0.473366 512.056588 20.290976 511.270079 40.108585 510.483569
0   17   0   385 3   -15.773369 511.813808 4.059217 511.656467 23.891803 511.499125
0   20   0   387 4   -32.004223 511.055675 -12.176629 511.527660 7.650965 511.999645
0   29   0   389 5   -48.202850 509.782952 -28.400214 510.883788 -8.597578 511.984624
0   32   0   391 6   -64.352942 507.996921 -44.595203 509.725500 -24.837464 511.454078
0   39   0   393 7   -80.438235 505.699381 -60.745288 508.053961 -41.052340 510.408541
0   11   1   389 0   82.864826 521.450241 62.636192 523.868870 42.407557 526.287499
0   14   1   391 1   66.278568 523.816842 45.983380 525.592441 25.688192 527.368040
0   21   1   393 2   49.625574 525.656005 29.284268 526.786785 8.942961 527.917566
0   26   1   395 3   32.922611 526.965876 12.555668 527.450700 -7.811275 527.935523
0   33   1   1   4   16.186497 527.745138 -4.185574 527.583516 -24.557645 527.421895
0   36   1   3   5   -0.565914 527.993004 -20.922601 527.185101 -41.279288 526.377197
0   43   1   5   6   -17.317756 527.709227 -37.638562 526.255854 -57.959367 524.802482
0   45   1   7   7   -34.052161 526.894091 -54.316623 524.796713 -74.581085 522.699335
0   47   1   9   8   -50.752278 525.548418 -70.939992 522.809146 -91.127706 520.069874
0   0    2   389 0   41.102323 542.494690 61.267991 540.207588 81.433659 537.920485
0   5    2   391 1   24.376673 543.503144 44.603208 541.838129 64.829743 540.173115
0   9    2   393 2   7.627901 543.996052 27.896117 542.954704 48.164333 541.913357
0   12   2   395 3   -9.128107 543.972947 11.162564 543.556254 31.453236 543.139561
0   19   2   397 4   -25.875457 543.433851 -5.581576 543.642208 14.712304 543.850565
0   24   2   399 5   -42.598262 542.379274 -22.320423 543.212484 -2.042584 544.045694
0   31   2   401 6   -59.280660 540.810219 -39.038097 542.267491 -18.795534 543.724762
0   34   2   403 7   -75.906827 538.728172 -55.718741 540.808123 -35.530656 542.888075
0   41   2   405 8   -92.460991 536.135108 -72.346533 538.835767 -52.232074 541.536425
0   6    3   413 0   88.281902 553.101430 68.214848 555.565354 48.147795 558.029279
0   13   3   415 1   71.696102 555.494874 51.564321 557.357380 31.432539 559.219887
0   16   3   417 2   55.046125 557.391075 34.867636 558.650496 14.689147 559.909917
0   25   3   419 3   38.346875 558.788335 18.139741 559.443543 -2.067393 560.098752
0   28   3   1   4   21.613298 559.685404 1.395608 559.735813 -18.822083 559.786223
0   35   3   3   5   4.860375 560.081479 -15.349775 559.527044 -35.559925 558.972609
0   38   3   5   6   -11.896899 559.976205 -32.081417 558.817422 -52.265936 557.658639
0   42   3   7   7   -28.643523 559.369676 -48.784342 557.607583 -68.925161 555.845490
0   44   3   9   8   -45.364508 558.262436 -65.443599 555.898609 -85.522689 553.534783
0   1    4   411 0   55.188239 573.503426 75.157051 570.874482 95.125864 568.245538
0   3    4   413 1   38.484706 574.865940 58.521532 572.818895 78.558359 570.771851
0   4    4   415 2   21.748610 575.742060 41.836498 574.278647 61.924386 572.815234
0   8    4   417 3   4.994114 576.131044 25.116067 575.252501 45.238019 574.373958
0   15   4   419 4   -11.764608 576.032565 8.374384 575.739634 28.513376 575.446704
0   18   4   421 5   -28.513376 575.446704 -8.374384 575.739634 11.764608 576.032565
0   27   4   423 6   -45.238019 574.373958 -25.116067 575.252501 -4.994114 576.131044
0   30   4   425 7   -61.924386 572.815234 -41.836498 574.278647 -21.748610 575.742060
0   37   4   427 8   -78.558359 570.771851 -58.521532 572.818895 -38.484706 574.865940
0   40   4   429 9   -95.125864 568.245538 -75.157051 570.874482 -55.188239 573.503426
1   6    5   435 0   101.965627 583.355813 82.094528 586.138956 62.223429 588.922099
1   10   5   437 1   85.416487 586.007694 65.474586 588.227393 45.532686 590.447092
1   14   5   439 2   68.798929 588.190192 48.802201 589.844668 28.805472 591.499145
1   18   5   441 3   52.126265 589.901557 32.090725 590.989486 12.055185 592.077416
1   24   5   443 4   35.411849 591.140419 15.353546 591.660930 -4.704758 592.181441
1   28   5   1   5   18.669068 591.905786 -1.395932 591.858462 -21.460932 591.811138
1   32   5   3   6   1.911333 592.197046 -18.144292 591.581924 -38.199916 590.966802
1   36   5   5   7   -14.847933 592.013964 -34.878118 590.831537 -54.908303 589.649110
1   41   5   7   8   -31.595305 591.356687 -51.584007 589.607902 -71.572709 587.859117
1   43   5   9   9   -48.317371 590.225741 -68.248579 587.912000 -88.179787 585.598258
1   1    6   435 0   60.920457 605.186583 80.732949 602.531917 100.545441 599.877251
1   3    6   437 1   44.221807 606.635421 64.099924 604.527684 83.978042 602.419946
1   4    6   439 2   27.489577 607.623589 47.418223 606.064380 67.346870 604.505171
1   8    6   441 3   10.736471 608.150336 30.700514 607.140839 50.664557 606.131343
1   12   6   443 4   -6.024789 608.215262 13.959490 607.756245 33.943769 607.297228
1   16   6   445 5   -22.781473 607.818318 -2.792134 607.910129 17.197205 608.001940
1   20   6   447 6   -39.520857 606.959805 -19.541637 607.602374 0.437582 608.244943
1   26   6   449 7   -56.230229 605.640375 -36.276301 606.833215 -16.322374 608.026054
1   30   6   451 8   -72.896901 603.861031 -52.983418 605.603235 -33.069934 607.345439
1   34   6   453 9   -89.508216 601.623123 -69.650299 603.913368 -49.792382 606.203614
1   38   6   455 10  -106.051560 598.928351 -86.264289 601.764898 -66.477018 604.601446
1   5    7   457 0   107.386393 614.982446 87.669337 617.780496 67.952281 620.578547
1   9    7   459 1   90.836639 617.643871 71.051568 619.911549 51.266498 622.179228
1   13   7   461 2   74.221396 619.860008 54.382575 621.595680 34.543754 623.331352
1   17   7   463 3   57.552645 621.629262 37.674376 622.831675 17.796107 624.034089
1   21   7   465 4   40.842400 622.950354 20.939015 623.618643 1.035629 624.286932
1   27   7   467 5   24.102711 623.822335 4.188558 623.956016 -15.725596 624.089698
1   31   7   1   6   7.345645 624.244573 -12.564919 623.843552 -32.475483 623.442530
1   35   7   3   7   -9.416716 624.216766 -29.309337 623.281331 -49.201957 622.345895
1   39   7   5   8   -26.172289 623.738933 -46.032624 622.269758 -65.892959 620.800583
1   40   7   7   9   -42.908993 622.811419 -62.722725 620.809564 -82.536456 618.807708
1   42   7   9   10  -59.614762 621.434893 -79.367605 618.901800 -99.120449 616.368707
1   0    8   459 0   58.306607 637.668223 77.998930 635.250309 97.691253 632.832396
1   2    8   461 1   41.594419 638.975999 61.343287 637.074399 81.092156 635.172799
1   7    8   463 2   24.853724 639.845852 44.645603 638.461869 64.437482 637.077886
1   11   8   465 3   8.095995 640.277188 27.917321 639.411770 47.738646 638.546352
1   15   8   467 4   -8.667282 640.269709 11.169905 639.923450 31.007092 639.577191
1   19   8   469 5   -25.424619 639.823422 -5.585165 639.996558 14.254288 640.169695
1   25   8   471 6   -42.164531 638.938631 -22.336408 639.631045 -2.508286 640.323458
1   29   8   473 7   -58.875546 637.615944 -39.072343 638.827160 -19.269140 640.038376
1   33   8   475 8   -75.546210 635.856267 -55.781499 637.585455 -36.016788 639.314644
1   37   8   477 9   -92.165099 633.660806 -72.452426 635.906781 -52.739753 638.152757
2   2    9   481 0   112.808457 646.600251 93.242740 649.409512 73.677023 652.218773
2   7    9   483 1   96.258380 649.270326 76.627300 651.578989 56.996220 653.887653
2   10   9   485 2   79.645512 651.516864 59.961875 653.323424 40.278238 655.129984
2   17   9   487 3   62.980688 653.338400 43.257334 654.641677 23.533980 655.944955
2   20   9   489 4   46.274781 654.733745 26.524576 655.532890 6.774371 656.332035
2   29   9   491 5   29.538687 655.701989 9.774515 655.996480 -9.989658 656.290971
2   32   9   1   6   12.783324 656.242500 -6.981923 656.032145 -26.747169 655.821790
2   39   9   3   7   -3.980378 656.354926 -23.733806 655.639862 -43.487233 654.924799
2   11   9   5   8   -20.741483 656.039193 -40.470206 654.819888 -60.198929 653.600582
2   14   9   7   9   -37.489058 655.295508 -57.180207 653.572755 -76.871356 651.850003
2   21   9   9   10  -54.212178 654.124355 -73.852907 651.899280 -93.493637 649.674204
2   26   9   11  11  -70.899933 652.526499 -90.477432 649.800552 -110.054930 647.074605
2   33   10  481 0   64.033078 669.347920 83.573314 666.899211 103.113549 664.450502
2   36   10  483 1   47.325869 670.736264 66.921079 668.775467 86.516289 666.814671
2   43   10  485 2   30.589240 671.707653 50.227244 670.235988 69.865247 668.764324
2   45   10  487 3   13.833596 672.261485 33.502185 671.279867 53.170775 670.298248
2   47   10  489 4   -2.930648 672.397416 16.756301 671.906454 36.443249 671.415492
2   0    10  491 5   -19.693069 672.115359 -0.000000 672.115359 19.693069 672.115359
2   5    10  493 6   -36.443249 671.415492 -16.756301 671.906454 2.930648 672.397416
2   9    10  495 7   -53.170775 670.298248 -33.502185 671.279867 -13.833596 672.261485
2   12   10  497 8   -69.865247 668.764324 -50.227244 670.235988 -30.589240 671.707653
2   19   10  499 9   -86.516289 666.814671 -66.921079 668.775467 -47.325869 670.736264
2   24   10  501 10  -103.113549 664.450502 -83.573314 666.899211 -64.033078 669.347920
2   31   11  505 0   109.964934 679.599778 90.515083 682.180481 71.065232 684.761183
2   34   11  507 1   93.383375 682.076015 73.876449 684.182329 54.369523 686.288642
2   41   11  509 2   76.746435 684.147740 57.194002 685.778415 37.641569 687.409091
2   6    11  511 3   60.063979 685.813724 40.477635 686.967794 20.891292 688.121864
2   13   11  513 4   43.345901 687.072979 23.737263 687.749759 4.128625 688.426539
2   16   11  515 5   26.602117 687.924758 6.982813 688.123847 -12.636491 688.322936
2   25   11  1   6   9.842557 688.368556 -9.775778 688.089836 -29.394112 687.811116
2   28   11  3   7   -6.922841 688.404111 -26.528571 687.647747 -46.134301 686.891383
2   35   11  5   8   -23.684134 688.031400 -43.265632 686.797841 -62.847129 685.564281
2   38   11  7   9   -40.431380 687.250645 -59.977033 685.540622 -79.522686 683.830599
2   42   11  9   10  -57.154648 686.062309 -76.652864 683.876836 -96.151080 681.691364
2   44   11  11  11  -73.844020 684.467097 -93.283236 681.807470 -112.722451 679.147844
3   2    12  503 0   78.092598 700.130698 97.452605 697.425487 116.812612 694.720276
3   7    12  505 1   61.408983 701.790841 80.827885 699.547120 100.246787 697.303399
3   10   12  507 2   44.690586 703.053483 64.157383 701.272522 83.624181 699.491561
3   17   12  509 3   27.946875 703.917907 47.450542 702.600716 66.954209 701.283525
3   20   12  511 4   11.187335 704.383625 30.716825 703.530949 50.246314 702.678273
3   29   12  513 5   -5.578542 704.450373 13.965709 704.062695 33.509959 703.675018
3   32   12  515 6   -22.341259 704.118112 -2.793318 704.195653 16.754624 704.273193
3   39   12  517 7   -39.091322 703.387032 -19.550762 703.929746 -0.010201 704.472461
3   11   12  519 8   -55.819243 702.257546 -36.297132 703.265127 -16.775021 704.272708
3   14   12  521 9   -72.515547 700.730293 -53.022943 702.202170 -33.530339 703.674047
3   21   12  523 10  -89.170778 698.806139 -69.718722 700.741479 -50.266665 702.676818
3   26   12  525 11  -105.775501 696.486175 -86.375011 698.883880 -66.974520 701.281585
3   33   13  529 0   107.106561 712.499098 87.775328 714.872675 68.444094 717.246252
3   36   13  531 1   90.498451 714.798441 71.117220 716.721557 51.735990 718.644674
3   43   13  533 2   73.841334 716.710707 54.420602 718.182322 34.999870 719.653937
3   45   13  535 3   57.144231 718.234862 37.694514 719.254179 18.244798 720.273495
3   47   13  537 4   40.416183 719.370080 20.948014 719.936546 1.479845 720.503012
3   0    13  539 5   23.666249 720.115747 4.190170 720.229056 -15.285908 720.342364
3   5    13  1   6   6.903499 720.471458 -12.569943 720.131548 -32.043385 719.791638
