l c x y
0 189 68.798407 507.026228
0 190 60.745288 508.053961
0 191 52.676876 508.953793
0 192 44.595203 509.725500
0 193 36.502303 510.368885
0 194 28.400214 510.883788
0 195 20.290976 511.270079
0 196 12.176629 511.527660
0 197 4.059217 511.656467
0 198 -4.059217 511.656467
0 199 -12.176629 511.527660
0 200 -20.290976 511.270079
0 201 -28.400214 510.883788
0 202 -36.502303 510.368885
0 203 -44.595203 509.725500
0 204 -52.676876 508.953793
0 205 -60.745288 508.053961
0 206 -68.798407 507.026228
1 202 69.869200 514.917687
1 203 61.690740 515.961415
1 204 53.496749 516.875253
1 205 45.289291 517.658970
1 206 37.070432 518.312370
1 207 28.842241 518.835287
1 208 20.606789 519.227590
1 209 12.366149 519.489180
1 210 4.122395 519.619991
1 211 -4.122395 519.619991
1 212 -12.366149 519.489180
1 213 -20.606789 519.227590
1 214 -28.842241 518.835287
1 215 -37.070432 518.312370
1 216 -45.289291 517.658970
1 217 -53.496749 516.875253
1 218 -61.690740 515.961415
1 219 -69.869200 514.917687
1 220 -78.030070 513.744331
2 202 70.939992 522.809146
2 203 62.636192 523.868870
2 204 54.316623 524.796713
2 205 45.983380 525.592441
2 206 37.638562 526.255854
2 207 29.284268 526.786785
2 208 20.922601 527.185101
2 209 12.555668 527.450700
2 210 4.185574 527.583516
2 211 -4.185574 527.583516
2 212 -12.555668 527.450700
2 213 -20.922601 527.185101
2 214 -29.284268 526.786785
2 215 -37.638562 526.255854
2 216 -45.983380 525.592441
2 217 -54.316623 524.796713
2 218 -62.636192 523.868870
2 219 -70.939992 522.809146
2 220 -79.225934 521.617807
3 194 79.454202 529.780013
3 195 71.286510 530.940737
3 196 63.101912 531.975546
3 197 54.902349 532.884195
3 198 46.689766 533.666468
3 199 38.466110 534.322179
3 200 30.233332 534.851174
3 201 21.993384 535.253327
3 202 13.748220 535.528542
3 203 5.499795 535.676754
3 204 -2.749934 535.697929
3 205 -10.999010 535.592060
3 206 -19.245479 535.359173
3 207 -27.487383 534.999324
3 208 -35.722768 534.512597
3 209 -43.949681 533.899109
3 210 -52.166172 533.159004
3 211 -60.370291 532.292458
3 212 -68.560093 531.299677
4 194 80.635677 537.657783
4 195 72.346533 538.835767
4 196 64.040231 539.885963
4 197 55.718741 540.808123
4 198 47.384038 541.602028
4 199 39.038097 542.267491
4 200 30.682898 542.804352
4 201 22.320423 543.212484
4 202 13.952654 543.491792
4 203 5.581576 543.642208
4 204 -2.790825 543.663697
4 205 -11.162564 543.556254
4 206 -19.531657 543.319905
4 207 -27.896117 542.954704
4 208 -36.253962 542.460740
4 209 -44.603208 541.838129
4 210 -52.941877 541.087019
