l1/I l2/I w1/I w2/I z x
1 2 0 0 -9.120450 63.252024
1 2 0 1 114.301951 54.918274
1 2 0 2 237.778952 46.580837
1 2 0 3 361.368973 38.235768
1 2 0 4 485.130636 29.879110
1 2 0 5 609.122905 21.506881
1 2 0 6 733.405162 13.115071
1 2 0 7 858.037368 4.699632
1 2 0 8 983.080123 -3.743529
1 2 1 0 -132.408141 54.953282
1 2 1 1 -9.003263 46.593300
1 2 1 2 114.397848 38.233573
1 2 1 3 237.853469 29.870154
1 2 1 4 361.421966 21.499088
1 2 1 5 485.161935 13.116405
1 2 1 6 609.132279 4.718116
1 2 1 7 733.392361 -3.699801
1 2 1 8 858.002068 -12.141404
1 2 2 0 -255.762137 46.650077
1 2 2 1 -132.312471 38.268057
1 2 2 2 -8.924938 29.890255
1 2 2 3 114.458711 21.512718
1 2 2 4 237.896711 13.131490
1 2 2 5 361.447403 4.742610
1 2 2 6 485.169336 -3.657896
1 2 2 7 609.121398 -12.074028
1 2 2 8 733.362888 -20.509812
1 2 3 0 -379.244945 38.338201
1 2 3 1 -255.688089 29.938330
1 2 3 2 -132.251850 21.546659
1 2 3 3 -8.877885 13.159221
1 2 3 4 114.492021 4.772059
1 2 3 5 237.916079 -3.618784
1 2 3 6 361.452600 -12.017273
1 2 3 7 485.160118 -20.427387
1 2 3 8 609.097469 -28.853126
1 2 4 0 -502.919337 30.013429
1 2 4 1 -379.192670 21.599896
1 2 4 2 -255.645339 13.198557
1 2 4 3 -132.218790 4.805432
1 2 4 4 -8.854708 -3.583445
1 2 4 5 114.505104 -11.972032
1 2 4 6 237.918839 -20.364286
1 2 4 7 361.444795 -28.764171
1 2 4 8 485.141464 -37.175665
1 2 5 0 -626.848441 21.671513
1 2 5 1 -502.889003 13.248516
1 2 5 2 -379.167975 4.841719
1 2 5 3 -255.626472 -3.552879
1 2 5 4 -132.205962 -11.939256
1 2 5 5 -8.848142 -20.321373
1 2 5 6 114.505177 -28.703184
1 2 5 7 237.912180 -37.088643
1 2 5 8 361.431133 -45.481709
1 2 6 0 -751.095945 13.308164
1 2 6 1 -626.840300 4.879922
1 2 6 2 -502.882614 -3.528109
1 2 6 3 -379.163552 -11.919955
1 2 6 4 -255.624244 -20.299607
1 2 6 5 -132.206165 -28.671037
1 2 6 6 -8.851008 -37.038199
1 2 6 7 114.499411 -45.405039
1 2 6 8 237.903255 -53.775504
1 2 7 0 -875.726176 4.919052
1 2 7 1 -751.110281 -3.510188
1 2 7 2 -626.852493 -11.915206
1 2 7 3 -502.892906 -20.300053
1 2 7 4 -379.172188 -28.668742
1 2 7 5 -255.631473 -37.025256
1 2 7 6 -132.212222 -45.373553
1 2 7 7 -8.856127 -53.717579
1 2 7 8 114.494985 -62.061267
1 2 8 0 -1000.804224 -3.500202
1 2 8 1 -875.763301 -11.926159
1 2 8 2 -751.141360 -20.323883
1 2 8 3 -626.877792 -28.697458
1 2 8 4 -502.912687 -37.050920
1 2 8 5 -379.186715 -45.388269
1 2 8 6 -255.640983 -53.713472
1 2 8 7 -132.216946 -62.030474
1 2 8 8 -8.856300 -70.343205
2 3 0 0 71.073513 66.052092
2 3 0 1 -52.826360 57.712143
2 3 0 2 -176.750348 49.370570
2 3 0 3 -300.753716 41.023654
2 3 0 4 -424.891889 32.667665
2 3 0 5 -549.220498 24.298856
2 3 0 6 -673.795547 15.913460
2 3 0 7 -798.673465 7.507676
2 3 0 8 -923.911246 -0.922330
2 3 1 0 194.869709 57.759871
2 3 1 1 70.958149 49.393960
2 3 1 2 -52.922250 41.030153
2 3 1 3 -176.826674 32.664723
2 3 1 4 -300.810370 24.293942
2 3 1 5 -424.928697 15.914071
2 3 1 6 -549.237277 7.521355
2 3 1 7 -673.792060 -0.887984
2 3 1 8 -798.649458 -9.317753
