bid/I ch/I l/I w/I  xhv yhv xc yc xro yro
11 6 0 137 -89.255163 -506.191185 -136.347341 -493.171593 -183.439518 -480.152000
11 8 0 138 -73.149827 -508.768221 -120.631380 -497.249321 -168.112933 -485.730421
11 10 0 139 -56.970835 -510.832971 -104.793954 -500.826361 -152.617073 -490.819752
11 14 0 140 -40.734478 -512.383355 -88.851009 -503.899112 -136.967540 -495.414869
11 16 0 141 -24.457105 -513.417812 -72.818599 -506.464479 -121.180093 -499.511146
11 18 0 142 -8.155105 -513.935302 -56.712866 -508.519879 -105.270627 -503.104457
11 30 0 143 8.155105 -513.935302 -40.550029 -510.063243 -89.255163 -506.191185
11 32 0 144 24.457105 -513.417812 -24.346361 -511.093017 -73.149827 -508.768221
11 34 0 145 40.734478 -512.383355 -8.118178 -511.608163 -56.970835 -510.832971
11 36 0 146 56.970835 -510.832971 8.118178 -511.608163 -40.734478 -512.383355
11 40 0 147 73.149827 -508.768221 24.346361 -511.093017 -24.457105 -513.417812
11 42 0 148 89.255163 -506.191185 40.550029 -510.063243 -8.155105 -513.935302
12 4 0 149 105.270627 -503.104457 56.712866 -508.519879 8.155105 -513.935302
12 6 0 150 121.180093 -499.511146 72.818599 -506.464479 24.457105 -513.417812
12 10 0 151 136.967540 -495.414869 88.851009 -503.899112 40.734478 -512.383355
12 16 0 152 152.617073 -490.819752 104.793954 -500.826361 56.970835 -510.832971
12 20 0 153 168.112933 -485.730421 120.631380 -497.249321 73.149827 -508.768221
12 22 0 154 183.439518 -480.152000 136.347341 -493.171593 89.255163 -506.191185
12 26 0 155 198.581395 -474.090107 151.926011 -488.597282 105.270627 -503.104457
12 28 0 156 213.523317 -467.550846 167.351705 -483.530996 121.180093 -499.511146
12 30 0 157 228.250239 -460.540800 182.608890 -477.977835 136.967540 -495.414869
12 32 0 158 242.747332 -453.067029 197.682203 -471.943390 152.617073 -490.819752
12 38 0 159 257.000000 -445.137058 212.556467 -465.433739 168.112933 -485.730421
12 40 0 160 270.993890 -436.758871 227.216704 -458.455436 183.439518 -480.152000
13 6 0 161 284.714913 -427.940905 241.648154 -451.015506 198.581395 -474.090107
13 8 0 162 298.149252 -418.692039 255.836284 -443.121442 213.523317 -467.550846
13 10 0 163 311.283379 -409.021586 269.766809 -434.781193 228.250239 -460.540800
13 12 0 164 324.104071 -398.939283 283.425702 -426.003156 242.747332 -453.067029
13 18 0 165 336.598417 -388.455281 296.799209 -416.796169 257.000000 -445.137058
13 20 0 166 348.753838 -377.580138 309.873864 -407.169505 270.993890 -436.758871
13 22 0 167 360.558092 -366.324804 322.636503 -397.132855 284.714913 -427.940905
13 26 0 168 371.999296 -354.700612 335.074274 -386.696326 298.149252 -418.692039
13 30 0 169 383.065927 -342.719266 347.174653 -375.870426 311.283379 -409.021586
13 32 0 170 393.746844 -330.392831 358.925457 -364.666057 324.104071 -398.939283
13 34 0 171 404.031291 -317.733719 370.314854 -353.094500 336.598417 -388.455281
13 36 0 172 413.908912 -304.754676 381.331375 -341.167407 348.753838 -377.580138
13 38 0 173 423.369763 -291.468770 391.963928 -328.896787 360.558092 -366.324804
14 6 0 174 432.404316 -277.889380 402.201806 -316.294996 371.999296 -354.700612
14 8 0 175 441.003474 -264.030179 412.034701 -303.374723 383.065927 -342.719266
14 12 0 176 449.158580 -249.905122 421.452712 -290.148977 393.746844 -330.392831
14 14 0 177 456.861421 -235.528432 430.446356 -276.631076 404.031291 -317.733719
14 16 0 178 464.104241 -220.914585 439.006577 -262.834630 413.908912 -304.754676
14 18 0 179 470.879747 -206.078295 447.124755 -248.773533 423.369763 -291.468770
14 28 0 180 477.181118 -191.034502 454.792717 -234.461941 432.404316 -277.889380
14 30 0 181 483.002007 -175.798354 462.002741 -219.914266 441.003474 -264.030179
14 34 0 182 488.336555 -160.385191 468.747567 -205.145157 449.158580 -249.905122
14 36 0 183 493.179388 -144.810534 475.020405 -190.169483 456.861421 -235.528432
14 38 0 184 497.525633 -129.090065 480.814937 -175.002325 464.104241 -220.914585
14 40 0 185 501.370910 -113.239614 486.125329 -159.658955 470.879747 -206.078295
14 42 0 186 504.711350 -97.275140 490.946234 -144.154821 477.181118 -191.034502
15 4 0 187 507.543589 -81.212718 495.272798 -128.505536 483.002007 -175.798354
15 8 0 188 509.864774 -65.068521 499.100664 -112.726856 488.336555 -160.385191
15 14 0 189 511.672568 -48.858806 502.425978 -96.834670 493.179388 -144.810534
15 18 0 190 512.965152 -32.599895 505.245392 -80.844980 497.525633 -129.090065
15 20 0 191 513.741223 -16.308158 507.556067 -64.773886 501.370910 -113.239614
15 22 0 192 514.000000 -0.000000 509.355675 -48.637570 504.711350 -97.275140
15 26 0 193 513.741223 16.308158 510.642406 -32.452280 507.543589 -81.212718
15 28 0 194 512.965152 32.599895 511.414963 -16.234313 509.864774 -65.068521
15 30 0 195 511.672568 48.858806 511.672568 -0.000000 511.672568 -48.858806
15 36 0 196 509.864774 65.068521 511.414963 16.234313 512.965152 -32.599895
11 0 1 136 -286.539633 -445.864372 -241.760367 -468.949688 -196.981101 -492.035004
11 2 1 137 -272.249018 -454.731209 -226.759847 -476.384149 -181.270676 -498.037089
11 4 1 138 -257.684270 -463.140170 -211.530998 -483.338931 -165.377726 -503.537692
11 12 1 139 -242.860057 -471.082788 -196.089156 -489.807032 -149.318255 -508.531276
11 20 1 140 -227.791303 -478.551065 -180.449868 -495.781939 -133.108433 -513.012812
11 22 1 141 -212.493184 -485.537482 -164.628883 -501.257635 -116.764582 -516.977787
11 24 1 142 -196.981101 -492.035004 -148.642131 -506.228607 -100.303160 -520.422210
11 26 1 143 -181.270676 -498.037089 -132.505708 -510.689850 -83.740740 -523.342611
11 28 1 144 -165.377726 -503.537692 -116.235863 -514.636872 -67.094000 -525.736051
11 38 1 145 -149.318255 -508.531276 -99.848979 -518.065697 -50.379703 -527.600119
11 44 1 146 -133.108433 -513.012812 -83.361555 -520.972875 -33.614677 -528.932939
11 46 1 147 -116.764582 -516.977787 -66.790194 -523.355477 -16.815805 -529.733167
12 1 1 148 -100.303160 -520.422210 -50.151580 -525.211105 -0.000000 -530.000000
12 0 1 149 -83.740740 -523.342611 -33.462468 -526.537889 16.815805 -529.733167
12 2 1 150 -67.094000 -525.736051 -16.739661 -527.334495 33.614677 -528.932939
12 8 1 151 -50.379703 -527.600119 0.000000 -527.600119 50.379703 -527.600119
12 18 1 152 -33.614677 -528.932939 16.739661 -527.334495 67.094000 -525.736051
12 21 1 153 -16.815805 -529.733167 33.462468 -526.537889 83.740740 -523.342611
12 23 1 154 -0.000000 -530.000000 50.151580 -525.211105 100.303160 -520.422210
