  x                 t               
  -0.80000001E+00   214.87622E+00
  -0.75000000E+00   202.36023E+00
  -0.69999999E+00   188.86076E+00
  -0.65000004E+00   174.38535E+00
  -0.60000002E+00   159.28905E+00
  -0.55000001E+00   143.91591E+00
  -0.50000000E+00   128.56068E+00
  -0.45000002E+00   113.43197E+00
  -0.40000001E+00   986.79818E-01
  -0.34999999E+00   844.05854E-01
  -0.30000001E+00   706.14301E-01
  -0.25000000E+00   573.62154E-01
  -0.20000000E+00   445.60496E-01
  -0.15000001E+00   320.64449E-01
  -0.10000000E+00   198.05219E-01
  -0.50000001E-01   775.41908E-02
   0.00000000E+00   000.00000E+00
   0.50000001E-01   775.41890E-02
   0.10000000E+00   197.24108E-01
   0.15000001E+00   320.64635E-01
   0.20000000E+00   445.60581E-01
   0.25000000E+00   573.62381E-01
   0.30000001E+00   706.14502E-01
   0.34999999E+00   843.87615E-01
   0.40000001E+00   986.75430E-01
   0.45000002E+00   113.43167E+00
   0.50000000E+00   128.56071E+00
   0.55000001E+00   143.91714E+00
   0.60000002E+00   159.28297E+00
   0.65000004E+00   174.38591E+00
   0.69999999E+00   188.85581E+00
   0.75000000E+00   202.36252E+00
   0.80000001E+00   214.91693E+00
