run_number/I gas_mixture_id/I run_grade/I duration/C hv_ch0/I hv_ch1/I hv_ch2/I recbe_dac_bd0/I recbe_dac_bd1/I recbe_th_bd0/D recbe_th_bd1/D recbe_th_input_bd0/I recbe_th_input_bd1/I
000026 0  5 0:02:56 2300 2300 2300 3751 3722 19.9963 20.0667 20 20
000027 0  5 0:01:38 2300 2300 2300 3799 3769 10.1012  9.9255 10 10
000028 0  5 0:01:26 2300 2300 2300 3824 3792  4.9475  4.9627  5  5
000029 0  5 0:01:40 2300 2300 2300 3833 3801  3.0922  3.0208  3  3
000030 0  5 0:02:26 2300 2300 2300 3843 3810  1.0307  1.0788  1  1
000031 0  5 0:03:38 2300 2300 2300 3809 3778  8.0397  7.9835  8  8
000032 0 10 0:01:27 2300 2300 2300 3833 3801  3.0922  3.0208  3  3
000033 0 10 0:00:51 2300 2300 2300 3833 3801  3.0922  3.0208  3  3
000034 0 10 0:00:33 2300 2300 2300 3833 3801  3.0922  3.0208  3  3
000035 0 10 0:01:02 2300 2300 2300 3751 3722 19.9963 20.0667 20 20
000036 0  2 0:03:00 1900 1900 1900 3751 3722 19.9963 20.0667 20 20
000037 0  2 0:03:04 2000 2000 2000 3751 3722 19.9963 20.0667 20 20
000038 0  2 0:03:00 2100 2100 2100 3751 3722 19.9963 20.0667 20 20
000039 0  2 0:03:00 2200 2200 2200 3751 3722 19.9963 20.0667 20 20
000040 0  2 0:03:04 2300 2300 2300 3751 3722 19.9963 20.0667 20 20
000041 0  2 0:03:04 2400 2400 2400 3751 3722 19.9963 20.0667 20 20
000042 0  2 0:03:03 2500 2500 2500 3751 3722 19.9963 20.0667 20 20
000043 0  2 0:03:00 2600 2600 2600 3751 3722 19.9963 20.0667 20 20
000044 0  1 0:03:00 2600 2600 2600 3799 3769 10.1012  9.9255 10 10
000045 0  1 0:03:05 2600 2600 2600 3775 3745 15.0487 15.1040 15 15
000046 0  1 0:03:57 2600 2600 2600 3727 3699 24.9438 25.0294 25 25
000047 0  1 0:03:35 2600 2600 2600 3702 3676 30.0975 29.9922 30 30
000048 0  1 0:03:09 2500 2500 2500 3799 3769 10.1012  9.9255 10 10
000049 0  1 0:03:08 2500 2500 2500 3775 3745 15.0487 15.1040 15 15
000050 0  1 0:03:08 2500 2500 2500 3727 3699 24.9438 25.0294 25 25
000051 0  1 0:03:32 2500 2500 2500 3702 3676 30.0975 29.9922 30 30
000052 0  1 0:03:02 2400 2400 2400 3799 3769 10.1012  9.9255 10 10
000053 0  1 0:03:03 2400 2400 2400 3775 3745 15.0487 15.1040 15 15
000054 0  1 0:03:07 2400 2400 2400 3727 3699 24.9438 25.0294 25 25
000055 0  1 0:03:07 2400 2400 2400 3702 3676 30.0975 29.9922 30 30
000056 0  1 0:03:30 2300 2300 2300 3702 3676 30.0975 29.9922 30 30
