b/I ch/I l/I h/I w/I  xhv yhv xc yc xro yro
0  2   0   379  0  32.949049 510.995630 52.676876 508.953793 72.404702 506.911957
0  7   0   381  1  16.719625 511.783770 36.502303 510.368885 56.284981 508.954000
0  10  0   383  2  0.473366 512.056588 20.290976 511.270079 40.108585 510.483569
0  17  0   385  3  -15.773369 511.813808 4.059217 511.656467 23.891803 511.499125
0  20  0   387  4  -32.004223 511.055675 -12.176629 511.527660 7.650965 511.999645
0  29  0   389  5  -48.202850 509.782952 -28.400214 510.883788 -8.597578 511.984624
0  32  0   391  6  -64.352942 507.996921 -44.595203 509.725500 -24.837464 511.454078
0  39  0   393  7  -80.438235 505.699381 -60.745288 508.053961 -41.052340 510.408541
0  11  1   389  0  82.864826 521.450241 62.636192 523.868870 42.407557 526.287499
0  14  1   391  1  66.278568 523.816842 45.983380 525.592441 25.688192 527.368040
0  21  1   393  2  49.625574 525.656005 29.284268 526.786785 8.942961 527.917566
0  26  1   395  3  32.802611  526.96587  12.435668   527.4507  -7.931275  527.93552
0  33  1   1    4  16.016497  527.74513  -4.355574  527.58351  -24.72764  527.42189
0  36  1   3    5  -0.865914  527.99300  -21.22260  527.18510  -41.57928  526.37719
0  43  1   5    6  -17.317756 527.709227 -37.638562 526.255854 -57.959367 524.802482
0  45  1   7    7  -34.052161 526.894091 -54.316623 524.796713 -74.581085 522.699335
0  47  1   9    8  -50.752278 525.548418 -70.939992 522.809146 -91.127706 520.069874
0  0   2   389  0  40.852323  542.49469  61.017991  540.20758  81.183659  537.92048 
0  5   2   391  1  24.126673  543.50314  44.353208  541.83812  64.579743  540.17311 
0  9   2   393  2   7.377901  543.99605  27.646117   542.9547  47.914333  541.91335 
0  12  2   395  3  -9.378107  543.97294  10.912564  543.55625  31.203236  543.13956 
0  19  2   397  4  -26.12545  543.43385  -5.831576   543.6422  14.462304  543.85056 
0  24  2   399  5  -42.84826  542.37927  -22.57042  543.21248  -2.292584  544.04569 
0  31  2   401  6  -59.53066  540.81021  -39.28809  542.26749  -19.04553  543.72476 
0  34  2   403  7  -76.15682  538.72817  -55.96874  540.80812  -35.78065  542.88807 
0  41  2   405  8  -92.71099   536.1351  -72.59653  538.83576  -52.48207  541.53642 
0  6   3   413  0  88.181902  553.10143  68.114848  555.56535  48.047795  558.02927 
0  13  3   415  1  71.596102  555.49487  51.464321  557.35738  31.332539  559.21988 
0  16  3   417  2  54.946125  557.39107  34.767636  558.65049  14.589147  559.90991 
0  25  3   419  3  38.246875  558.78833  18.039741  559.44354  -2.167393  560.09875 
0  28  3   1    4  21.513298  559.68540   1.295608  559.73581  -18.92208  559.78622 
0  35  3   3    5   4.760375  560.08147  -15.44977  559.52704  -35.65992  558.97260 
0  38  3   5    6  -11.99689  559.97620  -32.18141  558.81742  -52.36593  557.65863 
0  42  3   7    7  -28.74352  559.36967  -48.88434  557.60758  -69.02516  555.84549 
0  44  3   9    8  -45.46450  558.26243  -65.54359  555.89860  -85.62268  553.53478 
0  1   4   411  0  55.188239 573.503426 75.157051 570.874482 95.125864 568.245538
0  3   4   413  1  38.484706 574.865940 58.521532 572.818895 78.558359 570.771851
0  4   4   415  2  21.748610 575.742060 41.836498 574.278647 61.924386 572.815234
0  8   4   417  3  4.994114 576.131044 25.116067 575.252501 45.238019 574.373958
0  15  4   419  4  -11.764608 576.032565 8.374384 575.739634 28.513376 575.446704
0  18  4   421  5  -28.513376 575.446704 -8.374384 575.739634 11.764608 576.032565
0  27  4   423  6  -45.238019 574.373958 -25.116067 575.252501 -4.994114 576.131044
0  30  4   425  7  -61.924386 572.815234 -41.836498 574.278647 -21.748610 575.742060
0  37  4   427  8  -78.558359 570.771851 -58.521532 572.818895 -38.484706 574.865940
0  40  4   429  9  -95.125864 568.245538 -75.157051 570.874482 -55.188239 573.503426
1  6   5   435  0  101.965627 583.355813 82.094528 586.138956 62.223429 588.922099
1  10  5   437  1  85.416487 586.007694 65.474586 588.227393 45.532686 590.447092
1  14  5   439  2  68.798929 588.190192 48.802201 589.844668 28.805472 591.499145
1  18  5   441  3  52.126265 589.901557 32.090725 590.989486 12.055185 592.077416
1  24  5   443  4  35.411849 591.140419 15.353546 591.660930 -4.704758 592.181441
1  28  5   1    5  18.669068 591.905786 -1.395932 591.858462 -21.460932 591.811138
1  32  5   3    6  1.911333 592.197046 -18.144292 591.581924 -38.199916 590.966802
1  36  5   5    7  -14.847933 592.013964 -34.878118 590.831537 -54.908303 589.649110
1  41  5   7    8  -31.595305 591.356687 -51.584007 589.607902 -71.572709 587.859117
1  43  5   9    9  -48.317371 590.225741 -68.248579 587.912000 -88.179787 585.598258
1  1   6   435  0  60.920457 605.186583 80.732949 602.531917 100.545441 599.877251
1  3   6   437  1  44.221807 606.635421 64.099924 604.527684 83.978042 602.419946
1  4   6   439  2  27.489577 607.623589 47.418223 606.064380 67.346870 604.505171
1  8   6   441  3  10.736471 608.150336 30.700514 607.140839 50.664557 606.131343
1  12  6   443  4  -6.024789 608.215262 13.959490 607.756245 33.943769 607.297228
1  16  6   445  5  -22.781473 607.818318 -2.792134 607.910129 17.197205 608.001940
1  20  6   447  6  -39.520857 606.959805 -19.541637 607.602374 0.437582 608.244943
1  26  6   449  7  -56.230229 605.640375 -36.276301 606.833215 -16.322374 608.026054
1  30  6   451  8  -72.896901 603.861031 -52.983418 605.603235 -33.069934 607.345439
1  34  6   453  9  -89.508216 601.623123 -69.650299 603.913368 -49.792382 606.203614
1  38  6   455  10 -106.051560 598.928351 -86.264289 601.764898 -66.477018 604.601446
1  5   7   457  0  107.386393 614.982446 87.669337 617.780496 67.952281 620.578547
1  9   7   459  1  90.836639 617.643871 71.051568 619.911549 51.266498 622.179228
1  13  7   461  2  74.221396 619.860008 54.382575 621.595680 34.543754 623.331352
1  17  7   463  3  57.552645 621.629262 37.674376 622.831675 17.796107 624.034089
1  21  7   465  4  40.842400 622.950354 20.939015 623.618643 1.035629 624.286932
1  27  7   467  5  24.002711  623.82233   4.088558  623.95601  -15.82559  624.08969
1  31  7   1    6  7.295645  624.24457  -12.61491  623.84355  -32.52548  623.44253
1  35  7   3    7  -9.416716 624.216766 -29.309337 623.281331 -49.201957 622.345895
1  39  7   5    8  -26.172289 623.738933 -46.032624 622.269758 -65.892959 620.800583
1  40  7   7    9  -42.908993 622.811419 -62.722725 620.809564 -82.536456 618.807708
1  42  7   9    10 -59.614762 621.434893 -79.367605 618.901800 -99.120449 616.368707
1  0   8   0    0   58.3066  637.6682225  77.998926  635.25030 97.6912533  632.8323961 
1  2   8   0    1   41.5944  638.9759986  61.343278  637.07439 81.092156   635.1727991 
1  7   8   0    2   24.8537  639.8458525  44.645591  638.46186 64.4374822  637.0778864 
1  11  8   0    3   8.096 640.2771879     27.917323  639.41177 47.7386462  638.5463524 
1  15  8   0    4   -8.66728 640.2697094  11.169906  639.92345 31.0070925  639.5771906 
1  19  8   0    5   -25.4246 639.8234219  -5.585155  639.99655 14.2542881  640.1696945 
1  25  8   0    6   -42.1645 638.9386315  -22.33639  639.63104 -2.5082855  640.3234581 
1  29  8   0    7   -58.8755 637.6159444  -39.07232  638.82716 -19.2691401 640.038376  
1  33  8   0    8   -75.5462 635.8562673  -55.78149  637.58545 -36.0167885 639.3146435 
1  37  8   0    9   -92.1651 633.660806   -72.45242  635.90678 -52.7397528 638.1527568 
