b/I       ch/I       l/I       h/I        w/I  xhv        yhv        xc         yc         xro        yro
0          2          0        379          0  32.949049  510.99563  52.676876  508.95379  72.404702  506.91195 
0          7          0        381          1  16.719625  511.78377  36.502303  510.36888  56.284981    508.954 
0         10          0        383          2   0.473366  512.05658  20.290976  511.27007  40.108585  510.48356 
0         17          0        385          3  -15.77336  511.81380   4.059217  511.65646  23.891803  511.49912 
0         20          0        387          4  -32.00422  511.05567  -12.17662  511.52766   7.650965  511.99964 
0         29          0        389          5  -48.20285  509.78295  -28.40021  510.88378  -8.597578  511.98462 
0         32          0        391          6  -64.35294  507.99692  -44.59520   509.7255  -24.83746  511.45407 
0         39          0        393          7  -80.43823  505.69938  -60.74528  508.05396  -41.05234  510.40854 
0         11          1        389          0  82.864826  521.45024  62.636192  523.86887  42.407557  526.28749 
0         14          1        391          1  66.278568  523.81684   45.98338  525.59244  25.688192  527.36804 
0         21          1        393          2  49.625574  525.65600  29.284268  526.78678   8.942961  527.91756 
0         26          1        395          3  32.922611  526.96587  12.555668   527.4507  -7.811275  527.93552 
0         33          1          1          4  16.186497  527.74513  -4.185574  527.58351  -24.55764  527.42189 
0         36          1          3          5  -0.719657  527.99300  -20.92260  527.18510  -41.27928  526.37719 
0         43          1          5          6  -17.31775  527.70922  -37.63856  526.25585  -57.95936  524.80248 
0         45          1          7          7  -34.05216  526.89409  -54.31662  524.79671  -74.58108  522.69933 
0         47          1          9          8  -50.75227  525.54841  -70.93999  522.80914  -91.12770  520.06987 
0          0          2        389          0  41.102323  542.49469  61.267991  540.20758  81.433659  537.92048 
0          5          2        391          1  24.376673  543.50314  44.603208  541.83812  64.829743  540.17311 
0          9          2        393          2   7.627901  543.99605  27.896117  542.95470  48.164333  541.91335 
0         12          2        395          3  -9.128107  543.97294  11.162564  543.55625  31.453236  543.13956 
0         19          2        397          4  -26.07484  543.43385  -5.581576  543.64220  14.712304  543.85056 
0         24          2        399          5  -42.68992  542.37927  -22.32042  543.21248  -2.042584  544.04569 
0         31          2        401          6  -59.28066  540.81021  -39.03809  542.26749  -18.79553  543.72476 
0         34          2        403          7  -75.90682  538.72817  -55.71874  540.80812  -35.53065  542.88807 
0         41          2        405          8  -92.46099  536.13510  -72.34653  538.83576  -52.23207  541.53642 
0          6          3        413          0  88.281902  553.10143  68.214848  555.56535  48.147795  558.02927 
0         13          3        415          1  71.696102  555.49487  51.564321  557.35738  31.432539  559.21988 
0         16          3        417          2  55.046125  557.39107  34.867636  558.65049  14.689147  559.90991 
0         25          3        419          3  38.346875  558.78833  18.139741  559.44354  -2.067393  560.09875 
0         28          3          1          4  21.470444  559.68540   1.395608  559.73581  -18.82208  559.78622 
0         35          3          3          5  4.7453312  560.08147  -15.34977  559.52704  -35.55992  558.97260 
0         38          3          5          6  -11.89689  559.97620  -32.08141  558.81742  -52.26593  557.65863 
0         42          3          7          7  -28.64352  559.36967  -48.78434  557.60758  -68.92516  555.84549 
0         44          3          9          8  -45.36450  558.26243  -65.44359  555.89860  -85.52268  553.53478 
0          1          4        411          0  55.188239  573.50342  75.157051  570.87448  95.125864  568.24553 
0          3          4        413          1  38.484706  574.86594  58.521532  572.81889  78.558359  570.77185 
0          4          4        415          2   21.74861  575.74206  41.836498  574.27864  61.924386  572.81523 
0          8          4        417          3   4.994114  576.13104  25.116067  575.25250  45.238019  574.37395 
0         15          4        419          4  -11.90878  576.03256   8.230211  575.73963  28.369203  575.44670
