b/I ch/I l/I h/I w/I  xhv yhv xc yc xro yro
0  2   0   379  0  32.949049 510.995630 52.676876 508.953793 72.404702 506.911957
0  7   0   381  1  16.719625 511.783770 36.502303 510.368885 56.284981 508.954000
0  10  0   383  2  0.473366 512.056588 20.290976 511.270079 40.108585 510.483569
0  17  0   385  3  -15.773369 511.813808 4.059217 511.656467 23.891803 511.499125
0  20  0   387  4  -32.004223 511.055675 -12.176629 511.527660 7.650965 511.999645
0  29  0   389  5  -48.202850 509.782952 -28.400214 510.883788 -8.597578 511.984624
0  32  0   391  6  -64.352942 507.996921 -44.595203 509.725500 -24.837464 511.454078
0  39  0   393  7  -80.438235 505.699381 -60.745288 508.053961 -41.052340 510.408541
0  11  1   389  0  83.064826  521.45024  62.836192  523.86887  42.607557  526.28749 
0  14  1   391  1  66.478568  523.81684   46.18338  525.59244  25.888192  527.36804 
0  21  1   393  2  49.825574  525.65600  29.484268  526.78678   9.142961  527.91756 
0  26  1   395  3  33.122611  526.96587  12.755668   527.4507  -7.611275  527.93552 
0  33  1   1    4  16.386497  527.74513  -3.985574  527.58351  -24.35764  527.42189 
0  36  1   3    5  -0.365914  527.99300  -20.72260  527.18510  -41.07928  526.37719 
0  43  1   5    6  -17.11775  527.70922  -37.43856  526.25585  -57.75936  524.80248 
0  45  1   7    7  -33.85216  526.89409  -54.11662  524.79671  -74.38108  522.69933 
0  47  1   9    8  -50.55227  525.54841  -70.73999  522.80914  -90.92770  520.06987 
0  0   2   389  0  41.227323  542.49469  61.392991  540.20758  81.558659  537.92048 
0  5   2   391  1  24.501673  543.50314  44.728208  541.83812  64.954743  540.17311 
0  9   2   393  2   7.752901  543.99605  28.021117  542.95470  48.289333  541.91335 
0  12  2   395  3  -9.003107  543.97294  11.287564  543.55625  31.578236  543.13956 
0  19  2   397  4  -25.75045  543.43385  -5.456576  543.64220  14.837304  543.85056 
0  24  2   399  5  -42.47326  542.37927  -22.19542  543.21248  -1.917584  544.04569 
0  31  2   401  6  -59.15566  540.81021  -38.91309  542.26749  -18.67053  543.72476 
0  34  2   403  7  -75.78182  538.72817  -55.59374  540.80812  -35.40565  542.88807 
0  41  2   405  8  -92.33599  536.13510  -72.22153  538.83576  -52.10707  541.53642 
0  6   3   413  0  88.356902  553.10143  68.289848  555.56535  48.222795  558.02927 
0  13  3   415  1  71.771102  555.49487  51.639321  557.35738  31.507539  559.21988 
0  16  3   417  2  55.121125  557.39107  34.942636  558.65049  14.764147  559.90991 
0  25  3   419  3  38.421875  558.78833  18.214741  559.44354  -1.992393  560.09875 
0  28  3   1    4  21.688298  559.68540   1.470608  559.73581  -18.74708  559.78622 
0  35  3   3    5   4.935375  560.08147  -15.27477  559.52704  -35.48492  558.97260 
0  38  3   5    6  -11.82189  559.97620  -32.00641  558.81742  -52.19093  557.65863 
0  42  3   7    7  -28.56852  559.36967  -48.70934  557.60758  -68.85016  555.84549 
0  44  3   9    8  -45.28950  558.26243  -65.36859  555.89860  -85.44768  553.53478 
0  1   4   411  0  55.388239  573.50342  75.357051  570.87448  95.325864  568.24553 
0  3   4   413  1  38.684706  574.86594  58.721532  572.81889  78.758359  570.77185 
0  4   4   415  2   21.94861  575.74206  42.036498  574.27864  62.124386  572.81523 
0  8   4   417  3   5.194114  576.13104  25.316067  575.25250  45.438019  574.37395 
0  15  4   419  4  -11.56460  576.03256   8.574384  575.73963  28.713376  575.44670 
0  18  4   421  5  -28.31337  575.44670  -8.174384  575.73963  11.964608  576.03256 
0  27  4   423  6  -45.03801  574.37395  -24.91606  575.25250  -4.794114  576.13104 
0  30  4   425  7  -61.72438  572.81523  -41.63649  574.27864  -21.54861  575.74206 
0  37  4   427  8  -78.35835  570.77185  -58.32153  572.81889  -38.28470  574.86594 
0  40  4   429  9  -94.92586  568.24553  -74.95705  570.87448  -54.98823  573.50342 
1  6   5   435  0  102.04062  583.35581  82.169528  586.13895  62.298429  588.92209 
1  10  5   437  1  85.491487  586.00769  65.549586  588.22739  45.607686  590.44709 
1  14  5   439  2  68.873929  588.19019  48.877201  589.84466  28.880472  591.49914 
1  18  5   441  3  52.201265  589.90155  32.165725  590.98948  12.130185  592.07741 
1  24  5   443  4  35.486849  591.14041  15.428546  591.66093  -4.629758  592.18144 
1  28  5   1    5  18.744068  591.90578  -1.320932  591.85846  -21.38593  591.81113 
1  32  5   3    6   1.986333  592.19704  -18.06929  591.58192  -38.12491  590.96680 
1  36  5   5    7  -14.77293  592.01396  -34.80311  590.83153  -54.83330  589.64911 
1  41  5   7    8  -31.52030  591.35668  -51.50900  589.60790  -71.49770  587.85911 
1  43  5   9    9  -48.24237  590.22574  -68.17357    587.912  -88.10478  585.59825 
1  1   6   435  0  61.120457  605.18658  80.932949  602.53191  100.74544  599.87725 
1  3   6   437  1  44.421807  606.63542  64.299924  604.52768  84.178042  602.41994 
1  4   6   439  2  27.689577  607.62358  47.618223  606.06438   67.54687  604.50517 
1  8   6   441  3  10.936471  608.15033  30.900514  607.14083  50.864557  606.13134 
1  12  6   443  4  -5.824789  608.21526   14.15949  607.75624  34.143769  607.29722 
1  16  6   445  5  -22.58147  607.81831  -2.592134  607.91012  17.397205  608.00194 
1  20  6   447  6  -39.32085  606.95980  -19.34163  607.60237   0.637582  608.24494 
1  26  6   449  7  -56.03022  605.64037  -36.07630  606.83321  -16.12237  608.02605 
1  30  6   451  8  -72.69690  603.86103  -52.78341  605.60323  -32.86993  607.34543 
1  34  6   453  9  -89.30821  601.62312  -69.45029  603.91336  -49.59238  606.20361 
1  38  6   455  10 -105.8515  598.92835  -86.06428  601.76489  -66.27701  604.60144 
1  5   7   457  0  107.43639  614.98244  87.719337  617.78049  68.002281  620.57854 
1  9   7   459  1  90.886639  617.64387  71.101568  619.91154  51.316498  622.17922 
1  13  7   461  2  74.271396  619.86000  54.432575  621.59568  34.593754  623.33135 
1  17  7   463  3  57.602645  621.62926  37.724376  622.83167  17.846107  624.03408 
1  21  7   465  4    40.8924  622.95035  20.989015  623.61864   1.085629  624.28693 
1  27  7   467  5  24.152711  623.82233   4.238558  623.95601  -15.67559  624.08969 
1  31  7   1    6   7.395645  624.24457  -12.51491  623.84355  -32.42548  623.44253 
1  35  7   3    7  -9.366716  624.21676  -29.25933  623.28133  -49.15195  622.34589 
1  39  7   5    8  -26.12228  623.73893  -45.98262  622.26975  -65.84295  620.80058 
1  40  7   7    9  -42.85899  622.81141  -62.67272  620.80956  -82.48645  618.80770 
1  42  7   9    10 -59.56476  621.43489  -79.31760   618.9018  -99.07044  616.36870 
1  0   8   0    0   58.3066  637.6682225  77.998926  635.25030 97.6912533  632.8323961 
1  2   8   0    1   41.5944  638.9759986  61.343278  637.07439 81.092156   635.1727991 
1  7   8   0    2   24.8537  639.8458525  44.645591  638.46186 64.4374822  637.0778864 
1  11  8   0    3   8.096 640.2771879     27.917323  639.41177 47.7386462  638.5463524 
1  15  8   0    4   -8.66728 640.2697094  11.169906  639.92345 31.0070925  639.5771906 
1  19  8   0    5   -25.4246 639.8234219  -5.585155  639.99655 14.2542881  640.1696945 
1  25  8   0    6   -42.1645 638.9386315  -22.33639  639.63104 -2.5082855  640.3234581 
1  29  8   0    7   -58.8755 637.6159444  -39.07232  638.82716 -19.2691401 640.038376  
1  33  8   0    8   -75.5462 635.8562673  -55.78149  637.58545 -36.0167885 639.3146435 
1  37  8   0    9   -92.1651 633.660806   -72.45242  635.90678 -52.7397528 638.1527568 
