  x                 t               
 -0.800000  233.78532 
     -0.75  220.16793 
 -0.699999  205.48050 
 -0.650000  189.73126 
 -0.600000  173.30648 
 -0.550000  156.58051 
      -0.5  139.87402 
 -0.450000  123.41398 
 -0.400000  107.36364 
 -0.349999  91.833569 
 -0.300000  76.828359 
     -0.25  62.410023 
      -0.2  48.481819 
 -0.150000  34.886120 
      -0.1  21.548078 
 -0.050000  8.4365595 
         0          0 
 0.0500000  8.4365576 
       0.1  21.459829 
 0.1500000  34.886322 
       0.2  48.481912 
      0.25  62.410270 
 0.3000000  76.828578 
 0.3499999  91.813725 
 0.4000000  107.35886 
 0.4500000  123.41365 
       0.5  139.87405 
 0.5500000  156.58184 
 0.6000000  173.29987 
 0.6500000  189.73187 
 0.6999999  205.47512 
      0.75  220.17042 
 0.8000000  233.82962 
