l s x y 
1  1   89.25516330  506.19118500
 1  1   81.21271750  507.54358880
 1  1   73.14982690  508.76822110
 1  1   65.06852110  509.86477380
 1  1   56.97083470  510.83297070
 1  1   48.85880630  511.67256820
 1  1   40.73447780  512.38335480
 1  1   32.59989470  512.96515170
 1  1   24.45710470  513.41781230
 1  1   16.30815780  513.74122280
 1  1    8.15510540  513.93530160
 1  1    0.00000000  514.00000000
 1  1   -8.15510540  513.93530160
 1  1  -16.30815780  513.74122280
 1  1  -24.45710470  513.41781230
 1  1  -32.59989470  512.96515170
 1  1  -40.73447780  512.38335480
 1  1  -48.85880630  511.67256820
 1 -1  -49.95466710  511.56674170
 1 -1  -41.83187980  512.29492860
 1 -1  -33.69856150  512.89414790
 1 -1  -25.55675980  513.36424890
 1 -1  -17.40852430  513.70511320
 1 -1   -9.25590630  513.91665490
 1 -1   -1.10095820  513.99882090
 1 -1    7.05426710  513.95159040
 1 -1   15.20771650  513.77497540
 1 -1   23.35733750  513.46902030
 1 -1   31.50107840  513.03380210
 1 -1   39.63688900  512.46943030
 1 -1   47.76272120  511.77604720
 1 -1   55.87652950  510.95382710
 1 -1   63.97627110  510.00297720
 1 -1   72.05990710  508.92373670
 1 -1   80.12540230  507.71637740
 1 -1   88.17072640  506.38120320
 2  1   49.61925460  519.63634360
 2  1   41.36847750  520.35819300
 2  1   33.10728610  520.94904510
 2  1   24.83776010  521.40875110
 2  1   16.56198130  521.73719510
 2  1    8.28203310  521.93429460
 2  1    0.00000000  522.00000000
 2  1   -8.28203310  521.93429460
 2  1  -16.56198130  521.73719510
 2  1  -24.83776010  521.40875110
 2  1  -33.10728610  520.94904510
 2  1  -41.36847750  520.35819300
 2  1  -49.61925460  519.63634360
 2  1  -57.85754030  518.78367840
 2  1  -66.08126080  517.80041230
 2  1  -74.28834560  516.68679270
 2  1  -82.47672870  515.44309990
 2  1  -90.64434870  514.06964710
 2 -1  -89.46726590  514.27580960
 2 -1  -81.29652310  515.63056090
 2 -1  -73.10531430  516.85550500
 2 -1  -64.89570160  517.95033340
 2 -1  -56.66975180  518.91477070
 2 -1  -48.42953560  519.74857390
 2 -1  -40.17712760  520.45153320
 2 -1  -31.91460520  521.02347160
 2 -1  -23.64404850  521.46424520
 2 -1  -15.36753950  521.77374290
 2 -1   -7.08716180  521.95188680
 2 -1    1.19500000  521.99863220
 2 -1    9.47686100  521.91396710
 2 -1   17.75633630  521.69791310
 2 -1   26.03134150  521.35052440
 2 -1   34.29979340  520.87188840
 2 -1   42.55961060  520.26212580
 2 -1   50.80871360  519.52139000
 3  1   50.37970300  527.60011900
 3  1   42.00247710  528.33303130
 3  1   33.61467740  528.93293850
 3  1   25.21841540  529.39968980
 3  1   16.81580480  529.73316750
 3  1    8.40896080  529.93328770
 3  1    0.00000000  530.00000000
 3  1   -8.40896080  529.93328770
 3  1  -16.81580480  529.73316750
 3  1  -25.21841540  529.39968980
 3  1  -33.61467740  528.93293850
 3  1  -42.00247710  528.33303130
 3  1  -50.37970300  527.60011900
 3  1  -58.74424590  526.73438620
 3  1  -67.09400040  525.73605080
 3  1  -75.42686430  524.60536420
 3  1  -83.74073990  523.34261100
 3  1  -92.03353420  521.94810910
 3 -1  -90.76177430  522.17075780
 3 -1  -82.46560750  523.54505400
 3 -1  -74.14868050  524.78755050
 3 -1  -65.81308690  525.89793460
 3 -1  -57.46092530  526.87592660
 3 -1  -49.09429810  527.72128050
 3 -1  -40.71531180  528.43378340
 3 -1  -32.32607550  529.01325580
 3 -1  -23.92870140  529.45955200
 3 -1  -15.52530330  529.77255960
 3 -1   -7.11799690  529.95219980
 3 -1    1.29110150  529.99842740
 3 -1    9.69987490  529.91123070
 3 -1   18.10620640  529.69063170
 3 -1   26.50797970  529.33668590
 3 -1   34.90307980  528.84948240
 3 -1   43.28939320  528.22914390
 3 -1   51.66480880  527.47582650
 4  1   93.42271960  529.82657110
 4  1   85.25265420  531.20239550
 4  1   77.06237070  532.45224290
 4  1   68.85381170  533.57581710
 4  1   60.62892360  534.57285160
 4  1   52.38965710  535.44310980
 4  1   44.13796620  536.18638540
 4  1   35.87580780  536.80250220
 4  1   27.60514130  537.29131410
 4  1   19.32792810  537.65270500
 4  1   11.04613130  537.88658930
 4  1    2.76171470  537.99291160
 4  1   -5.52335670  537.97164660
 4  1  -13.80711830  537.82279930
 4  1  -22.08760550  537.54640510
 4  1  -30.36285450  537.14252960
 4  1  -38.63090280  536.61126840
 4  1  -46.88978960  535.95274760
 4 -1  -53.72854770  535.31041760
 4 -1  -45.47874140  536.07432700
 4 -1  -37.21814970  536.71110420
 4 -1  -28.94873150  537.22059800
 4 -1  -20.67244790  537.60268780
 4 -1  -12.39126190  537.85728280
 4 -1   -4.10713720  537.98432270
 4 -1    4.17796160  537.98377730
 4 -1   12.46206950  537.85564680
 4 -1   20.74322200  537.59996160
 4 -1   29.01945510  537.21678230
 4 -1   37.28880620  536.70619980
 4 -1   45.54931400  536.06833520
 4 -1   53.79901970  535.30333970
 4 -1   62.03596670  534.41139480
 4 -1   70.25820160  533.39271190
 4 -1   78.46377440  532.24753270
 4 -1   86.65073930  530.97612880
 5  1   94.81190500  537.70503310
 5  1   86.52035160  539.10131590
 5  1   78.20827960  540.36974840
 5  1   69.87766020  541.51003000
 5  1   61.53046890  542.52189020
 5  1   53.16868550  543.40508910
 5  1   44.79429290  544.15941720
 5  1   36.40927710  544.78469560
 5  1   28.01562670  545.28077600
 5  1   19.61533230  545.64754080
 5  1   11.21038600  545.88490290
 5  1    2.80278110  545.99280620
 5  1   -5.60548840  545.97122500
 5  1  -14.01242860  545.82016440
 5  1  -22.41604570  545.53966020
 5  1  -30.81434670  545.12977910
 5  1  -39.20534000  544.59061810
 5  1  -47.58703550  543.92230520
 5 -1  -54.60429120  543.26270940
 5 -1  -46.23192090  544.03916170
 5 -1  -37.84858650  544.68659290
 5 -1  -29.45627620  545.20484940
 5 -1  -21.05698010  545.59380820
 5 -1  -12.65269040  545.85337720
 5 -1   -4.24540000  545.98349480
 5 -1    4.16289730  545.98413010
 5 -1   12.57020730  545.85528290
 5 -1   20.97453620  545.59698390
 5 -1   29.37389090  545.20929420
 5 -1   37.76627940  544.69230590
 5 -1   46.14971150  544.04614150
 5 -1   54.52219910  543.27095430
 5 -1   62.88175640  542.36692810
 5 -1   71.22640110  541.33427730
 5 -1   79.55415420  540.17324680
 5 -1   87.86304060  538.88411190
 6  1   55.16058700  551.24704960
 6  1   46.90808570  552.01053570
 6  1   38.64508650  552.65048380
 6  1   30.37343860  553.16675080
 6  1   22.09499330  553.55922110
 6  1   13.81160320  553.82780680
 6  1    5.52512220  553.97244790
 6  1   -2.76259540  553.99311190
 6  1  -11.04969470  553.88979430
 6  1  -19.33432120  553.66251820
 6  1  -27.61462070  553.31133440
 6  1  -35.88874010  552.83632150
 6  1  -44.15482770  552.23758580
 6  1  -52.41103370  551.51526140
 6  1  -60.65551030  550.66950980
 6  1  -68.88641240  549.70052050
 6  1  -77.10189790  548.60851010
 6  1  -85.30012840  547.39372310
 6  1  -93.47926890  546.05643140
 6 -1  -94.72838150  545.84112500
 6 -1  -86.55232210  547.19712680
 6 -1  -78.35689250  548.43066780
 6 -1  -70.14392690  549.54147210
 6 -1  -61.91526340  550.52929090
 6 -1  -53.67274340  551.39390330
 6 -1  -45.41821170  552.13511580
 6 -1  -37.15351560  552.75276230
 6 -1  -28.88050460  553.24670490
 6 -1  -20.60103030  553.61683280
 6 -1  -12.31694550  553.86306330
 6 -1   -4.03010430  553.98534120
 6 -1    4.25763880  553.98363920
 6 -1   12.54442920  553.85795770
 6 -1   20.82841210  553.60832480
 6 -1   29.10773370  553.23479630
 6 -1   37.38054110  552.73745590
 6 -1   45.64498280  552.11641480
 6 -1   53.89920940  551.37181210
 7  1   55.95712980  559.20729580
 7  1   47.58545870  559.98180700
 7  1   39.20313820  560.63099620
 7  1   30.81204420  561.15471840
 7  1   22.41405460  561.55285610
 7  1   14.01104880  561.82532030
 7  1    5.60490730  561.97205000
 7  1   -2.80248850  561.99301250
 7  1  -11.20925710  561.88820290
 7  1  -19.61351710  561.65764480
 7  1  -28.01338770  561.30138970
 7  1  -36.40698900  560.81951740
 7  1  -44.79244260  560.21213580
 7  1  -53.16787170  559.47938070
 7  1  -61.53140210  558.62141610
 7  1  -69.88116200  557.63843410
 7  1  -78.21528270  556.53065460
 7  1  -86.53189920  555.29832560
 7  1  -94.82915010  553.94172280
 7 -1  -96.02082340  553.73640070
 7 -1  -87.72651070  555.11085320
 7 -1  -79.41256510  556.36107390
 7 -1  -71.08084720  557.48678300
 7 -1  -62.73322170  558.48772850
 7 -1  -54.37155670  559.36368650
 7 -1  -45.99772360  560.11446100
 7 -1  -37.61359630  560.73988390
 7 -1  -29.22105130  561.23981520
 7 -1  -20.82196660  561.61414310
 7 -1  -12.41822210  561.86278370
 7 -1   -4.01169850  561.98568160
 7 -1    4.39572290  561.98280900
 7 -1   12.80216060  561.85416670
 7 -1   21.20573330  561.59978350
 7 -1   29.60456010  561.21971630
 7 -1   37.99676160  560.71405020
 7 -1   46.38045950  560.08289830
 7 -1   54.75377770  559.32640190
 8  1   98.97946130  561.34041920
 8  1   90.80491480  562.72059450
 8  1   82.61115980  563.98173400
 8  1   74.39992960  565.12357100
 8  1   66.17296110  566.14586390
 8  1   57.93199460  567.04839650
 8  1   49.67877340  567.83097790
 8  1   41.41504330  568.49344250
 8  1   33.14255250  569.03565020
 8  1   24.86305080  569.45748630
 8  1   16.57828970  569.75886150
 8  1    8.29002170  569.93971220
 8  1    0.00000000  570.00000000
 8  1   -8.29002170  569.93971220
 8  1  -16.57828970  569.75886150
 8  1  -24.86305080  569.45748630
 8  1  -33.14255250  569.03565020
 8  1  -41.41504330  568.49344250
 8  1  -49.67877340  567.83097790
 8  1  -57.93199460  567.04839650
 8 -1  -59.56708870  566.87896590
 8 -1  -51.31615870  567.68534580
 8 -1  -43.05437350  568.37163980
 8 -1  -34.78348080  568.93770260
 8 -1  -26.50523010  569.38341460
 8 -1  -18.22137260  569.70868130
 8 -1   -9.93366060  569.91343410
 8 -1   -1.64384730  569.99762960
 8 -1    6.64631380  569.96125000
 8 -1   14.93506890  569.80430300
 8 -1   23.22066470  569.52682180
 8 -1   31.50134850  569.12886510
 8 -1   39.77536860  568.61051700
 8 -1   48.04097480  567.97188730
 8 -1   56.29641860  567.21311100
 8 -1   64.53995370  566.33434860
 8 -1   72.76983620  565.33578600
 8 -1   80.98432530  564.21763450
 8 -1   89.18168330  562.98013050
 8 -1   97.36017610  561.62353590
 9  1  100.36864670  569.21888120
 9  1   92.07936970  570.61842740
 9  1   83.77061470  571.89726710
 9  1   75.44413910  573.05512990
 9  1   67.10170440  574.09177080
 9  1   58.74507520  575.00697050
 9  1   50.37601930  575.80053550
 9  1   41.99630710  576.47229790
 9  1   33.60771110  577.02211550
 9  1   25.21200590  577.44987210
 9  1   16.81096740  577.75547710
 9  1    8.40637280  577.93886610
 9  1    0.00000000  578.00000000
 9  1   -8.40637280  577.93886610
 9  1  -16.81096740  577.75547710
 9  1  -25.21200590  577.44987210
 9  1  -33.60771110  577.02211550
 9  1  -41.99630710  576.47229790
 9  1  -50.37601930  575.80053550
 9  1  -58.74507520  575.00697050
 9 -1  -60.47872420  574.82721220
 9 -1  -52.11209930  575.64601020
 9 -1  -43.73445090  576.34303830
 9 -1  -35.34755100  576.91814900
 9 -1  -26.95317390  577.37122060
 9 -1  -18.55309510  577.70215740
 9 -1  -10.14909180  577.91088930
 9 -1   -1.74294150  577.99737210
 9 -1    6.66357750  577.96158760
 9 -1   15.06868690  577.80354330
 9 -1   23.47060870  577.52327270
